posted_datetime,engagement_score,sentiment_score,like_count,comment_count,share_count,gunluk_post_sayisi,Lag_1_Etkilesim,Lag_2_Etkilesim,Lag_7_Etkilesim,Lag_1_Duygu,Rolling_7_Etkilesim_Ort,Rolling_7_Etkilesim_Std,Rolling_14_Etkilesim_Ort,Rolling_7_Duygu_Ort
2024-01-19,0.62,0.685,18165,3326,2683,2,0.34833333333333333,0.2733333333333334,0.4875,0.08166666666666665,0.49785714285714283,0.1671651276258894,0.51075,-0.08642857142857144
2024-01-20,0.47,0.41,12342,4595,1111,1,0.62,0.34833333333333333,0.505,0.685,0.4928571428571429,0.16743908313427472,0.5144642857142857,0.07214285714285713
2024-01-21,0.3566666666666667,0.42,26318,10652,4991,3,0.47,0.62,0.7433333333333333,0.41,0.43761904761904763,0.1308089401989743,0.49886904761904766,0.0926190476190476
2024-01-22,0.9233333333333333,-0.5633333333333334,34278,5100,7951,3,0.3566666666666667,0.47,0.3983333333333334,0.42,0.5126190476190476,0.2227352213637952,0.5341071428571429,0.05595238095238094
2024-01-23,0.82,-0.32,25658,10032,3658,3,0.9233333333333333,0.3566666666666667,0.5966666666666667,-0.5633333333333334,0.5445238095238095,0.25098456918355355,0.5630357142857143,0.04166666666666667
2024-01-24,0.63,0.4533333333333333,41350,10266,3088,3,0.82,0.9233333333333333,0.2733333333333334,-0.32,0.5954761904761904,0.22118936558916094,0.5773214285714285,0.16666666666666669
2024-01-25,0.32666666666666666,-0.17666666666666667,33322,12677,919,3,0.63,0.82,0.34833333333333333,0.4533333333333333,0.5923809523809523,0.22533690238556048,0.5356547619047619,0.12976190476190474
2024-01-26,0.4166666666666667,0.3933333333333333,33700,10259,3867,3,0.32666666666666666,0.63,0.62,-0.17666666666666667,0.5633333333333334,0.23411772916870507,0.5305952380952381,0.08809523809523809
2024-01-27,0.48,-0.31,16867,2477,2307,1,0.4166666666666667,0.32666666666666666,0.47,0.3933333333333333,0.5647619047619048,0.2334829452321641,0.5288095238095238,-0.01476190476190477
2024-01-28,0.32,0.51,13434,4100,2237,1,0.48,0.4166666666666667,0.3566666666666667,-0.31,0.5595238095238095,0.23926916945092502,0.49857142857142855,-0.0019047619047619171
2024-01-29,0.47800000000000004,0.20800000000000002,57331,13215,5329,5,0.32,0.48,0.9233333333333333,0.51,0.4959047619047619,0.17769613204545373,0.5042619047619047,0.10828571428571429
2024-01-30,,,0,0,0,0,0.47800000000000004,0.32,0.82,0.20800000000000002,,,,
2024-01-31,0.302,-0.09600000000000002,38903,14952,7811,5,,0.47800000000000004,0.63,,,,,
2024-02-01,0.685,0.019999999999999997,25663,5158,5655,2,0.302,,0.32666666666666666,-0.09600000000000002,,,,
2024-02-02,0.5425,0.335,62400,4564,5520,4,0.685,0.302,0.4166666666666667,0.019999999999999997,,,,
2024-02-03,0.6711111111111111,0.1288888888888889,83880,28701,13399,9,0.5425,0.685,0.48,0.335,,,,
2024-02-04,0.68,0.435,12581,3415,1268,2,0.6711111111111111,0.5425,0.32,0.1288888888888889,,,,
2024-02-05,0.738,-0.45,69621,11644,4456,5,0.68,0.6711111111111111,0.47800000000000004,0.435,,,,
2024-02-06,0.47,-0.3,38092,9555,6657,4,0.738,0.68,,-0.45,0.5840873015873017,0.15543677295931965,,0.010412698412698438
2024-02-07,0.45,-0.164,39685,13554,11037,5,0.47,0.738,0.302,-0.3,0.6052301587301587,0.11564353145266304,,0.000698412698412718
2024-02-08,0.74,-0.93,18813,1902,2191,1,0.45,0.47,0.685,-0.164,0.6130873015873016,0.12356381474336657,,-0.135015873015873
2024-02-09,0.5700000000000001,-0.065,22508,1028,2446,2,0.74,0.45,0.5425,-0.93,0.617015873015873,0.12136309885491743,,-0.19215873015873014
2024-02-10,0.74,-0.192,43162,16811,6883,5,0.5700000000000001,0.74,0.6711111111111111,-0.065,0.6268571428571429,0.1290315576017855,,-0.238
2024-02-11,0.31499999999999995,0.24,14822,3991,3028,2,0.74,0.5700000000000001,0.68,-0.192,0.5747142857142856,0.17092563128030697,,-0.26585714285714285
2024-02-12,0.32166666666666666,0.17833333333333334,84647,13508,7751,6,0.31499999999999995,0.74,0.738,0.24,0.5152380952380952,0.1769662778386422,,-0.17609523809523808
2024-02-13,0.77,-0.07,17369,1680,2476,1,0.32166666666666666,0.31499999999999995,0.47,0.17833333333333334,0.5580952380952381,0.19912407394736792,0.5710912698412699,-0.14323809523809522
2024-02-14,0.32799999999999996,-0.10400000000000001,47595,16698,5282,5,0.77,0.32166666666666666,0.45,-0.07,0.5406666666666666,0.21487800156264386,0.5729484126984127,-0.13466666666666666
2024-02-15,0.28125,-0.30125,108958,15236,12315,8,0.32799999999999996,0.77,0.74,-0.10400000000000001,0.4751309523809523,0.2139057633520848,0.5441091269841271,-0.04484523809523809
2024-02-16,0.345,-0.25,8230,2317,2369,2,0.28125,0.32799999999999996,0.5700000000000001,-0.30125,0.44298809523809524,0.21417899028838563,0.5300019841269841,-0.07127380952380952
2024-02-17,0.39,-0.04,4615,2678,2795,1,0.345,0.28125,0.74,-0.25,0.3929880952380952,0.16947345217485685,0.509922619047619,-0.049559523809523796
2024-02-18,0.6699999999999999,0.05333333333333331,16279,9976,4378,3,0.39,0.345,0.31499999999999995,-0.04,0.4437023809523809,0.1936394359390505,0.5092083333333334,-0.07622619047619048
2024-02-19,0.85,-0.335,23663,1591,1624,2,0.6699999999999999,0.39,0.32166666666666666,0.05333333333333331,0.5191785714285714,0.2363915675617168,0.5172083333333333,-0.1495595238095238
2024-02-20,0.7133333333333333,-0.02,31046,8542,5913,3,0.85,0.6699999999999999,0.77,-0.335,0.5110833333333333,0.2271606596173241,0.5345892857142857,-0.14241666666666666
2024-02-21,0.48600000000000004,-0.06,58511,7630,7120,5,0.7133333333333333,0.85,0.32799999999999996,-0.02,0.5336547619047619,0.21336790317002838,0.5371607142857143,-0.13613095238095238
2024-02-22,0.605,0.685,28396,4113,2815,2,0.48600000000000004,0.7133333333333333,0.28125,-0.06,0.5799047619047618,0.18237494084335998,0.5275178571428571,0.004761904761904777
2024-02-23,0.6566666666666666,-0.2916666666666667,68655,14976,7526,6,0.605,0.48600000000000004,0.345,0.685,0.6244285714285713,0.15077536814815493,0.5337083333333333,-0.0011904761904761782
2024-02-24,0.9,-0.9,10668,1862,2100,1,0.6566666666666666,0.605,0.39,-0.2916666666666667,0.6972857142857143,0.14155386732441252,0.5451369047619047,-0.12404761904761905
2024-02-25,0.36000000000000004,-0.47666666666666674,33945,5237,5416,3,0.9,0.6566666666666666,0.6699999999999999,-0.9,0.6529999999999999,0.19127360662828682,0.5483511904761904,-0.19976190476190478
2024-02-26,0.5675,0.395,42772,6918,9616,4,0.36000000000000004,0.9,0.85,-0.47666666666666674,0.6126428571428572,0.17156821417850723,0.5659107142857143,-0.09547619047619049
2024-02-27,0.495,0.41500000000000004,21325,3254,4662,2,0.5675,0.36000000000000004,0.7133333333333333,0.395,0.581452380952381,0.17005159114455135,0.5462678571428572,-0.03333333333333332
2024-02-28,0.77,0.43,34778,2856,3437,3,0.495,0.5675,0.48600000000000004,0.41500000000000004,0.6220238095238095,0.17721080845964404,0.5778392857142858,0.03666666666666668
2024-02-29,0.5275,0.5075000000000001,34116,6864,6290,4,0.77,0.495,0.605,0.43,0.6109523809523809,0.1808355277461763,0.5954285714285714,0.011309523809523825
2024-03-01,0.3175,0.16999999999999998,19496,10431,2947,4,0.5275,0.77,0.6566666666666666,0.5075000000000001,0.5625,0.20968229936422067,0.5934642857142858,0.07726190476190478
2024-03-02,,,0,0,0,0,0.3175,0.5275,0.9,0.16999999999999998,,,,
2024-03-03,0.4375,0.45749999999999996,25698,7582,5023,4,,0.3175,0.36000000000000004,,,,,
2024-03-04,,,0,0,0,0,0.4375,,0.5675,0.45749999999999996,,,,
2024-03-05,0.54,-0.035,18403,3697,4393,2,,0.4375,0.495,,,,,
2024-03-06,,,0,0,0,0,0.54,,0.77,-0.035,,,,
2024-03-07,0.585,-0.255,25441,12150,7722,4,,0.54,0.5275,,,,,
2024-03-08,0.87,-0.8,865,4751,2029,1,0.585,,0.3175,-0.255,,,,
2024-03-09,0.435,0.4116666666666667,55325,18286,10567,6,0.87,0.585,,-0.8,,,,
2024-03-10,0.694,0.0,34318,15559,7783,5,0.435,0.87,0.4375,0.4116666666666667,,,,
2024-03-11,0.5533333333333333,0.25333333333333335,22181,8374,4953,3,0.694,0.435,,0.0,,,,
2024-03-12,0.1,-0.31,12677,490,748,1,0.5533333333333333,0.694,0.54,0.25333333333333335,,,,
2024-03-13,0.4225,0.4875,14689,15138,8271,4,0.1,0.5533333333333333,,-0.31,0.5228333333333334,0.24193221043185723,,-0.03035714285714286
2024-03-14,0.5555555555555556,0.20777777777777776,67720,16571,18901,9,0.4225,0.1,0.585,0.4875,0.5186269841269842,0.24092507909924418,,0.035753968253968246
2024-03-15,0.5733333333333334,0.09333333333333334,3314,7595,5130,3,0.5555555555555556,0.4225,0.87,0.20777777777777776,0.47624603174603175,0.18939646904515536,,0.16337301587301584
2024-03-16,0.315,-0.27499999999999997,30238,3558,1791,2,0.5733333333333334,0.5555555555555556,0.435,0.09333333333333334,0.45910317460317457,0.1989422192842852,,0.06527777777777778
2024-03-17,0.5519999999999999,0.396,52124,12091,8884,5,0.315,0.5733333333333334,0.694,-0.27499999999999997,0.43881746031746033,0.17703143310406294,,0.12184920634920636
2024-03-18,0.53,-0.46,14633,3625,4509,2,0.5519999999999999,0.315,0.5533333333333333,0.396,0.435484126984127,0.17472042545824576,,0.019944444444444438
2024-03-19,0.495,-0.24250000000000002,33846,12776,5199,4,0.53,0.5519999999999999,0.1,-0.46,0.4919126984126984,0.09297545948807893,,0.029587301587301586
2024-03-20,0.48599999999999993,0.176,76005,13371,6580,5,0.495,0.53,0.4225,-0.24250000000000002,0.500984126984127,0.08804110591973315,0.5119087301587302,-0.014912698412698417
2024-03-21,0.175,-0.11500000000000005,18428,4771,1663,2,0.48599999999999993,0.495,0.5555555555555556,0.176,0.4466190476190476,0.1466890675533884,0.48262301587301587,-0.06102380952380952
2024-03-22,0.74,0.62,13125,2996,1191,1,0.175,0.48599999999999993,0.5733333333333334,-0.11500000000000005,0.4704285714285715,0.18034860422975016,0.4733373015873016,0.01421428571428572
2024-03-23,0.41333333333333333,-0.20333333333333334,96052,32304,13852,9,0.74,0.175,0.315,0.62,0.48447619047619045,0.16974205453971944,0.4717896825396825,0.024452380952380944
2024-03-24,0.584,0.49399999999999994,70376,11092,11005,5,0.41333333333333333,0.74,0.5519999999999999,-0.20333333333333334,0.48904761904761906,0.1722756650310913,0.46393253968253967,0.03845238095238094
2024-03-25,0.20500000000000002,-0.13,36091,4622,676,2,0.584,0.41333333333333333,0.53,0.49399999999999994,0.44261904761904763,0.2008274944814144,0.4390515873015873,0.08559523809523806
2024-03-26,0.875,0.1675,59076,10722,5490,4,0.20500000000000002,0.584,0.495,-0.13,0.4969047619047619,0.25999072022511616,0.49440873015873016,0.14416666666666664
2024-03-27,0.43999999999999995,-0.33666666666666667,26273,10532,3693,3,0.875,0.20500000000000002,0.48599999999999993,0.1675,0.49033333333333334,0.2608920594166612,0.49565873015873013,0.07092857142857142
2024-03-28,0.5166666666666667,0.5466666666666667,32686,10813,3712,3,0.43999999999999995,0.875,0.175,-0.33666666666666667,0.5391428571428571,0.2209712447475712,0.49288095238095236,0.16545238095238096
2024-03-29,0.64,-0.58,4772,1509,1836,1,0.5166666666666667,0.43999999999999995,0.74,0.5466666666666667,0.5248571428571428,0.20871421690585515,0.4976428571428571,-0.005976190476190468
2024-03-30,0.5933333333333334,0.4766666666666666,26700,3291,4039,3,0.64,0.5166666666666667,0.41333333333333333,-0.58,0.5505714285714286,0.2037124620531773,0.5175238095238095,0.09116666666666666
2024-03-31,0.71,0.2975,42686,7497,3294,4,0.5933333333333334,0.64,0.584,0.4766666666666666,0.5685714285714286,0.2125341553627727,0.5288095238095238,0.06309523809523811
2024-04-01,0.5166666666666667,0.43333333333333335,16230,6804,3105,3,0.71,0.5933333333333334,0.20500000000000002,0.2975,0.613095238095238,0.1458640557208072,0.5278571428571428,0.1435714285714286
2024-04-02,0.38625,-0.0675,77596,12541,11699,8,0.5166666666666667,0.71,0.875,0.43333333333333335,0.5432738095238095,0.11284013103483036,0.5200892857142857,0.11000000000000001
2024-04-03,0.72,-0.265,10465,3819,3779,2,0.38625,0.5166666666666667,0.43999999999999995,-0.0675,0.5832738095238096,0.11955754381497133,0.5368035714285714,0.12023809523809527
2024-04-04,,,0,0,0,0,0.72,0.38625,0.5166666666666667,-0.265,,,,
2024-04-05,0.3775,0.36,51883,9606,6425,4,,0.72,0.64,,,,,
2024-04-06,0.7333333333333334,-0.26,38968,12796,3705,3,0.3775,,0.5933333333333334,0.36,,,,
2024-04-07,0.45333333333333337,0.27,33004,9608,5073,3,0.7333333333333334,0.3775,0.71,-0.26,,,,
2024-04-08,0.308,0.256,48774,10161,6560,5,0.45333333333333337,0.7333333333333334,0.5166666666666667,0.27,,,,
2024-04-09,1.0,0.84,12995,4247,1510,1,0.308,0.45333333333333337,0.38625,0.256,,,,
2024-04-10,0.4242857142857143,-0.09999999999999999,79266,19142,9334,7,1.0,0.308,0.72,0.84,,,,
2024-04-11,0.3775,0.05249999999999999,44934,7224,5612,4,0.4242857142857143,1.0,,-0.09999999999999999,0.5248503401360545,0.24996953129308372,,0.20264285714285715
2024-04-12,0.705,0.0050000000000000044,10694,2889,1970,2,0.3775,0.4242857142857143,0.3775,0.05249999999999999,0.5716360544217688,0.2484378041655552,,0.1519285714285714
2024-04-13,0.49,0.77,18300,2995,70,1,0.705,0.3775,0.7333333333333334,0.0050000000000000044,0.5368741496598639,0.238882035199746,,0.2990714285714286
2024-04-14,0.51,0.65,11642,1431,781,1,0.49,0.705,0.45333333333333337,0.77,0.5449693877551021,0.23652772290499888,,0.35335714285714287
2024-04-15,0.91,0.05,13041,3328,2184,1,0.51,0.49,0.308,0.65,0.630969387755102,0.24528658047224428,,0.32392857142857145
2024-04-16,0.5725,-0.1775,41023,5324,7346,4,0.91,0.51,1.0,0.05,0.5698979591836736,0.18353931466896825,,0.17857142857142858
2024-04-17,0.42,-0.03666666666666667,85027,8968,9815,6,0.5725,0.91,0.4242857142857143,-0.1775,0.5692857142857143,0.18411225225001038,,0.18761904761904763
2024-04-18,0.495,-0.3075,47025,5503,3519,4,0.42,0.5725,0.3775,-0.03666666666666667,0.5860714285714286,0.16839844332500742,0.5554608843537415,0.1361904761904762
2024-04-19,0.5466666666666667,0.013333333333333345,25124,6508,4317,3,0.495,0.42,0.705,-0.3075,0.5634523809523809,0.1601955030777994,0.5675442176870749,0.13738095238095238
2024-04-20,0.20500000000000002,0.24,7017,4476,4538,2,0.5466666666666667,0.495,0.49,0.013333333333333345,0.5227380952380952,0.21034292673013003,0.5298061224489796,0.06166666666666666
2024-04-21,0.5733333333333334,-0.02666666666666667,40985,3692,6076,3,0.20500000000000002,0.5466666666666667,0.51,0.24,0.5317857142857143,0.21106455731481158,0.5383775510204082,-0.035
2024-04-22,0.5433333333333333,-0.35000000000000003,23625,12834,3238,3,0.5733333333333334,0.20500000000000002,0.91,-0.02666666666666667,0.47940476190476194,0.13239488692791773,0.5551870748299319,-0.09214285714285715
2024-04-23,0.96,0.0,17243,2386,1530,2,0.5433333333333333,0.5733333333333334,0.5725,-0.35000000000000003,0.5347619047619048,0.2258408743542686,0.5523299319727891,-0.0667857142857143
2024-04-24,0.32,-0.48,11844,1304,690,1,0.96,0.5433333333333333,0.42,0.0,0.5204761904761904,0.23718783439095015,0.5448809523809524,-0.13011904761904763
2024-04-25,0.33399999999999996,-0.146,26653,9983,4370,5,0.32,0.96,0.495,-0.48,0.4974761904761905,0.24764549461940757,0.5417738095238095,-0.10704761904761906
2024-04-26,0.97,0.95,7849,540,1106,1,0.33399999999999996,0.32,0.5466666666666667,-0.146,0.557952380952381,0.3063840744200016,0.560702380952381,0.026761904761904747
2024-04-27,0.6125,-0.20750000000000002,35612,12196,7580,4,0.97,0.33399999999999996,0.20500000000000002,0.95,0.6161666666666666,0.2639144256649759,0.5694523809523809,-0.03716666666666668
2024-04-28,0.74,0.86,11148,4851,770,1,0.6125,0.97,0.5733333333333334,-0.20750000000000002,0.6399761904761905,0.2669071906350566,0.5858809523809524,0.08949999999999998
2024-04-29,,,0,0,0,0,0.74,0.6125,0.5433333333333333,0.86,,,,
2024-04-30,0.514,0.33399999999999996,45176,14602,7601,5,,0.74,0.96,,,,,
2024-05-01,,,0,0,0,0,0.514,,0.32,0.33399999999999996,,,,
2024-05-02,0.8166666666666668,-0.25333333333333335,30782,7152,5096,3,,0.514,0.33399999999999996,,,,,
2024-05-03,0.1366666666666667,0.4033333333333333,34094,6612,3585,3,0.8166666666666668,,0.97,-0.25333333333333335,,,,
2024-05-04,0.5666666666666667,0.10333333333333328,37206,10002,3482,3,0.1366666666666667,0.8166666666666668,0.6125,0.4033333333333333,,,,
2024-05-05,0.41000000000000003,-0.245,22594,3217,3091,2,0.5666666666666667,0.1366666666666667,0.74,0.10333333333333328,,,,
2024-05-06,0.4275,-0.1125,58875,10787,4837,4,0.41000000000000003,0.5666666666666667,,-0.245,,,,
2024-05-07,0.256,0.10400000000000001,46548,13848,10540,5,0.4275,0.41000000000000003,0.514,-0.1125,,,,
2024-05-08,0.5075000000000001,-0.165,34411,10385,7372,4,0.256,0.4275,,0.10400000000000001,0.4458571428571429,0.21953044226112495,,-0.023595238095238107
2024-05-09,,,0,0,0,0,0.5075000000000001,0.256,0.8166666666666668,-0.165,,,,
2024-05-10,0.26666666666666666,-0.4066666666666667,19426,5285,4611,3,,0.5075000000000001,0.1366666666666667,,,,,
2024-05-11,0.3333333333333333,0.0,25675,7588,3211,3,0.26666666666666666,,0.5666666666666667,-0.4066666666666667,,,,
2024-05-12,0.5025,0.2325,38776,9634,5302,4,0.3333333333333333,0.26666666666666666,0.41000000000000003,0.0,,,,
2024-05-13,0.4,-0.13,14405,2590,1807,1,0.5025,0.3333333333333333,0.4275,0.2325,,,,
2024-05-14,0.56,0.10333333333333332,24136,4805,2533,3,0.4,0.5025,0.256,-0.13,,,,
2024-05-15,,,0,0,0,0,0.56,0.4,0.5075000000000001,0.10333333333333332,,,,
2024-05-16,0.3585714285714286,-0.02,44096,8459,10993,7,,0.56,,,,,,
2024-05-17,0.3,-0.32,2072,3383,2036,1,0.3585714285714286,,0.26666666666666666,-0.02,,,,
2024-05-18,0.62,0.16,7701,403,2201,1,0.3,0.3585714285714286,0.3333333333333333,-0.32,,,,
2024-05-19,0.755,-0.385,27685,4498,2280,2,0.62,0.3,0.5025,0.16,,,,
2024-05-20,,,0,0,0,0,0.755,0.62,0.4,-0.385,,,,
2024-05-21,0.5433333333333333,0.26,45078,7194,4381,3,,0.755,0.56,,,,,
2024-05-22,0.3633333333333333,0.21,30133,4226,2921,3,0.5433333333333333,,,0.26,,,,
2024-05-23,0.5583333333333333,-1.4456028966473393e-18,70946,16832,9538,6,0.3633333333333333,0.5433333333333333,0.3585714285714286,0.21,,,,
2024-05-24,0.345,-0.075,39741,9388,7725,4,0.5583333333333333,0.3633333333333333,0.3,-1.4456028966473393e-18,,,,
2024-05-25,0.15,-0.12,10603,487,89,1,0.345,0.5583333333333333,0.62,-0.075,,,,
2024-05-26,0.6575,0.505,20332,9649,4759,4,0.15,0.345,0.755,-0.12,,,,
2024-05-27,0.58,0.04666666666666667,38280,9111,5766,3,0.6575,0.15,,0.505,0.45678571428571424,0.17730259534891282,,0.11809523809523807
2024-05-28,0.3075,0.4925,21662,11289,6387,4,0.58,0.6575,0.5433333333333333,0.04666666666666667,0.4230952380952381,0.18049360964226163,,0.1513095238095238
2024-05-29,0.642,-0.21600000000000003,60801,7999,6617,5,0.3075,0.58,0.3633333333333333,0.4925,0.4629047619047619,0.1952442406117617,,0.09045238095238095
2024-05-30,0.73,-0.37,6041,2790,2730,1,0.642,0.3075,0.5583333333333333,-0.21600000000000003,0.48742857142857143,0.2186112280913747,,0.037595238095238084
2024-05-31,0.58,0.14333333333333334,49691,9174,5804,3,0.73,0.642,0.345,-0.37,0.521,0.2110053316861923,,0.06878571428571427
2024-06-01,0.5519999999999999,0.242,52791,12761,8181,5,0.58,0.73,0.15,0.14333333333333334,0.5784285714285714,0.13377419674319024,,0.12049999999999998
2024-06-02,0.62,0.74,20102,5157,2814,2,0.5519999999999999,0.58,0.6575,0.242,0.5730714285714286,0.13079769001892108,,0.15407142857142858
2024-06-03,0.636,0.12000000000000002,47352,12553,6876,5,0.62,0.5519999999999999,0.58,0.74,0.5810714285714286,0.1329863491025267,0.5189285714285715,0.16454761904761903
2024-06-04,0.548,0.04999999999999999,48281,16505,7321,5,0.636,0.62,0.3075,0.12000000000000002,0.6154285714285714,0.06337943184466438,0.5192619047619048,0.10133333333333332
2024-06-05,0.6825,0.365,56701,11082,4939,4,0.548,0.636,0.642,0.04999999999999999,0.6212142857142856,0.06789689311918605,0.5420595238095238,0.18433333333333332
2024-06-06,0.3925,0.2125,38227,6084,6641,4,0.6825,0.548,0.73,0.365,0.5730000000000001,0.09297266623404278,0.5302142857142856,0.26754761904761903
2024-06-07,0.445,-0.18000000000000002,19673,6336,3907,2,0.3925,0.6825,0.58,0.2125,0.5537142857142857,0.10455853908331988,0.5373571428571429,0.22135714285714284
2024-06-08,0.645,-0.19,31701,8675,3240,4,0.445,0.3925,0.5519999999999999,-0.18000000000000002,0.567,0.11006778214657872,0.5727142857142857,0.15964285714285714
2024-06-09,0.55,0.035,62828,12169,10037,4,0.645,0.445,0.62,-0.19,0.557,0.10760227692758198,0.5650357142857143,0.05892857142857141
2024-06-10,0.29,0.14,8743,2786,456,1,0.55,0.645,0.636,0.035,0.5075714285714287,0.13988996526181702,0.5443214285714285,0.06178571428571427
2024-06-11,0.09,0.12,10486,4497,568,1,0.29,0.55,0.548,0.14,0.44214285714285717,0.20823878807067328,0.5287857142857143,0.07178571428571426
2024-06-12,0.03,0.02,8720,4265,293,1,0.09,0.29,0.6825,0.12,0.3489285714285714,0.22783335075068695,0.4850714285714286,0.022499999999999982
2024-06-13,0.14,0.2,26139,4751,1179,2,0.03,0.09,0.3925,0.02,0.31285714285714283,0.23947611472505836,0.4429285714285714,0.020714285714285696
2024-06-14,0.7999999999999999,-0.19666666666666666,32824,3968,4129,3,0.14,0.03,0.445,0.2,0.36357142857142855,0.3016443033015634,0.4586428571428572,0.01833333333333332
2024-06-15,0.8566666666666666,0.003333333333333355,37381,9626,3320,3,0.7999999999999999,0.14,0.645,-0.19666666666666666,0.39380952380952383,0.3424120788553342,0.4804047619047619,0.045952380952380946
2024-06-16,0.03,0.45,1586,2360,1471,1,0.8566666666666666,0.7999999999999999,0.55,0.003333333333333355,0.3195238095238095,0.3588893803131922,0.43826190476190474,0.10523809523809523
2024-06-17,0.655,-0.63,27207,5742,1312,2,0.03,0.8566666666666666,0.29,0.45,0.37166666666666665,0.37979160952641716,0.43961904761904763,-0.004761904761904761
2024-06-18,0.5775,0.0875,48027,11459,8605,4,0.655,0.03,0.09,-0.63,0.4413095238095238,0.3638979612342945,0.44172619047619044,-0.009404761904761907
2024-06-19,0.5449999999999999,-0.017499999999999988,33144,6985,2320,4,0.5775,0.655,0.03,0.0875,0.5148809523809523,0.3157576237941485,0.4319047619047619,-0.014761904761904764
2024-06-20,0.185,-0.51,5397,3058,1172,2,0.5449999999999999,0.5775,0.14,-0.017499999999999988,0.5213095238095238,0.30719529360440806,0.41708333333333336,-0.11619047619047619
2024-06-21,0.73,-0.4000000000000001,22312,708,2116,3,0.185,0.5449999999999999,0.7999999999999999,-0.51,0.5113095238095238,0.29760068991002137,0.43744047619047616,-0.14523809523809525
2024-06-22,0.44,0.1,33208,4641,5262,4,0.73,0.185,0.8566666666666666,-0.4000000000000001,0.4517857142857143,0.2557371464907632,0.42279761904761903,-0.13142857142857145
2024-06-23,0.4633333333333333,-0.21,32864,8819,4363,3,0.44,0.73,0.03,0.1,0.5136904761904761,0.17692450860757483,0.41660714285714284,-0.22571428571428573
2024-06-24,0.96,-0.89,16753,3820,914,1,0.4633333333333333,0.44,0.655,-0.21,0.5572619047619047,0.24281275854922832,0.46446428571428566,-0.2628571428571429
2024-06-25,0.5599999999999999,0.5866666666666667,39929,9939,5603,3,0.96,0.4633333333333333,0.5775,-0.89,0.5547619047619048,0.24265970031863612,0.4980357142857143,-0.19154761904761905
2024-06-26,0.6466666666666666,-0.32,56663,9930,2854,3,0.5599999999999999,0.96,0.5449999999999999,0.5866666666666667,0.5692857142857143,0.2450091781025713,0.5420833333333334,-0.23476190476190478
2024-06-27,0.6733333333333333,0.3516666666666666,57735,10013,7164,6,0.6466666666666666,0.5599999999999999,0.185,-0.32,0.639047619047619,0.17760457832890036,0.5801785714285714,-0.1116666666666667
2024-06-28,0.20500000000000002,-0.47,50570,16594,5724,4,0.6733333333333333,0.6466666666666666,0.73,0.3516666666666666,0.564047619047619,0.23452445411240105,0.5376785714285715,-0.12166666666666669
